"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"17/01/2025","16.360,0","16.365,0","16.375,0","16.345,0","","0,03%"
"16/01/2025","16.355,0","16.355,0","16.390,0","16.347,5","","0,25%"
"15/01/2025","16.315,0","16.290,0","16.340,0","16.281,5","","0,34%"
"14/01/2025","16.260,0","16.270,0","16.282,5","16.250,0","","-0,06%"
"13/01/2025","16.270,0","16.247,5","16.292,5","16.232,5","","0,56%"
"10/01/2025","16.180,0","16.212,5","16.215,0","16.170,0","","-0,09%"
"09/01/2025","16.195,0","16.240,0","16.267,5","16.200,0","","0,03%"
"08/01/2025","16.190,0","16.167,5","16.215,0","16.157,5","","0,40%"
"07/01/2025","16.125,0","16.175,0","16.195,0","16.127,5","","-0,40%"
"06/01/2025","16.190,0","16.200,0","16.212,5","16.165,0","","0,03%"
"03/01/2025","16.185,0","16.225,0","16.245,0","16.190,0","","-0,03%"
"02/01/2025","16.190,0","16.200,0","16.262,5","16.174,5","","0,62%"
"01/01/2025","16.090,0","16.090,0","16.090,0","16.090,0","","0,00%"
"31/12/2024","16.090,0","16.090,0","16.172,5","16.070,0","","-0,25%"
"30/12/2024","16.130,0","16.175,0","16.195,0","16.127,5","","-0,62%"
"27/12/2024","16.230,0","16.207,5","16.260,0","16.205,0","","0,28%"
"26/12/2024","16.185,0","16.185,0","16.185,0","16.185,0","","0,00%"
"25/12/2024","16.185,0","16.185,0","16.185,0","16.185,0","","0,00%"
"24/12/2024","16.185,0","16.155,0","16.220,0","16.155,0","","0,09%"
"23/12/2024","16.170,0","16.182,5","16.197,5","16.125,0","","-0,12%"
"20/12/2024","16.190,0","16.315,0","16.322,5","16.192,0","","-0,58%"
"19/12/2024","16.285,0","16.205,0","16.305,0","16.185,0","","1,24%"
"18/12/2024","16.085,0","16.102,5","16.122,5","16.078,5","","0,16%"
"17/12/2024","16.060,0","16.020,0","16.071,5","16.012,5","","0,41%"
"16/12/2024","15.995,0","16.005,0","16.029,0","15.992,5","","0,03%"
"13/12/2024","15.990,0","15.965,0","16.002,5","15.955,0","","0,44%"
"12/12/2024","15.920,0","15.940,0","15.955,0","15.925,0","","0,06%"
"11/12/2024","15.910,0","15.880,0","15.922,5","15.877,0","","0,32%"
"10/12/2024","15.860,0","15.855,0","15.883,5","15.847,5","","0,00%"
"09/12/2024","15.860,0","15.855,0","15.877,5","15.832,5","","0,09%"
"06/12/2024","15.845,0","15.860,0","15.862,5","15.832,5","","-0,06%"
"05/12/2024","15.855,0","15.912,5","15.927,5","15.859,5","","-0,44%"
"04/12/2024","15.925,0","15.955,0","15.977,5","15.925,0","","-0,06%"
"03/12/2024","15.935,0","15.925,0","15.964,0","15.920,0","","0,25%"
"02/12/2024","15.895,0","15.870,0","15.917,5","15.865,0","","0,35%"
"29/11/2024","15.840,0","15.865,0","15.877,5","15.835,0","","-0,16%"
"28/11/2024","15.865,0","15.875,0","15.891,5","15.840,0","","-0,38%"
"27/11/2024","15.925,0","15.925,0","15.925,0","15.925,0","","0,00%"
"26/11/2024","15.925,0","15.912,5","15.939,5","15.895,0","","0,38%"
"25/11/2024","15.865,0","15.880,0","15.887,5","15.846,5","","-0,03%"
"22/11/2024","15.870,0","15.930,0","15.937,5","15.875,0","","-0,31%"
"21/11/2024","15.920,0","15.905,0","15.956,5","15.900,0","","0,38%"
"20/11/2024","15.860,0","15.845,0","15.875,0","15.830,0","","0,22%"
"19/11/2024","15.825,0","15.810,0","15.837,5","15.790,0","","-0,13%"
"18/11/2024","15.845,0","15.865,0","15.877,5","15.830,0","","-0,03%"
"15/11/2024","15.850,0","15.915,0","15.967,5","15.855,0","","0,00%"
"14/11/2024","15.850,0","15.820,0","15.892,5","15.817,5","","0,51%"
"13/11/2024","15.770,0","15.765,0","15.797,5","15.752,5","","-0,03%"
"12/11/2024","15.775,0","15.745,0","15.798,5","15.732,5","","0,64%"
"11/11/2024","15.675,0","15.640,0","15.691,0","15.632,5","","0,06%"
"08/11/2024","15.665,0","15.625,0","15.697,5","15.617,5","","-0,41%"
"07/11/2024","15.730,0","15.815,0","15.830,0","15.735,0","","-0,60%"
"06/11/2024","15.825,0","15.787,5","15.862,5","15.787,5","","0,60%"
"05/11/2024","15.730,0","15.780,0","15.795,0","15.725,0","","-0,13%"
"04/11/2024","15.750,0","15.735,0","15.776,0","15.717,5","","0,22%"
"01/11/2024","15.715,0","15.705,0","15.732,5","15.698,5","","0,16%"
"31/10/2024","15.690,0","15.700,0","15.715,0","15.680,0","","0,00%"
"30/10/2024","15.690,0","15.752,5","15.755,0","15.695,0","","-0,41%"
"29/10/2024","15.755,0","15.737,5","15.778,5","15.730,0","","0,22%"
"28/10/2024","15.720,0","15.695,0","15.740,0","15.687,5","","0,54%"
"25/10/2024","15.635,0","15.602,5","15.643,5","15.592,5","","0,39%"
"24/10/2024","15.575,0","15.640,0","15.650,0","15.580,0","","-0,26%"
